Product,PnLLow,PnLAvg,Count
Maisto Tech Crawler Radio-Controlled Vehicle,33.95,37.35,3
@slickdeals,3.6,10.55,2
3-Pack Kong Air Dog Squeakair Birthday Balls Dog Toy (Medium),8.59,8.59,1
4lb Optimum Nutrition 100% Casein Protein (Chocolate Peanut Butter),17.69,22.03,3
2.7oz Eucerin Intensive Repair Extra-Enriched Hand Creme,1.89,6.7975,8
Until Dawn (PS4),0.5,29.2084507042,71
Husky 13-in-1 Multi-Tool,1.5,7.85625,8
11.6" 120GB SSD  Win 10 $205  https://t.co/mnoSVDHBJW Lenovo 11E-G2 ThinkPad: AMD A4-6210 11.6" 120GB SSD Win 10,64.0,64.0,1
9.7oz Glade Premium Room Air Freshener Spray,6.99,17.0202941176,34
Sony Call of Duty Edition Dualshock 4 Wireless Controller,23.99,38.4338888889,18
Hasbro's Pie Face Game,17.5,26.25,2
Megamind (Blu-ray/DVD Combo),1.76,13.6225,4
AT&amp;T Nokia Lumia 640 No-Contract Smartphone,20.99,45.3183333333,12
Despicable Me (Blu-ray + DVD + Digital HD),1.99,11.8520689655,29
AMD FX-8320 AM3+ 8-Core Black Edition Processor,20.0,43.666,5
Panasonic Hybrid Mobile Charger &amp; 5000mAh Travel Battery,14.95,14.95,1
Universal Magnetic Car Vent Mount Holder for Smartphones,0.49,0.49,1
HDTV: 60" Samsung UN60J Smart HDTV w/,656.48,656.48,1
Coleman Sundome 4-Person Tent,8.55,41.5236111111,36
Munchkin Card Game,2.59,21.5107142857,28
32GB Nintendo Wii U Deluxe Console w/ Mario Kart 8,46.99,99.9933333333,3
70" Vizio E70-C3 240Hz 1080p Smart LED HDTV,474.95,474.95,1
Fisher-Price Imaginext Supernova Battle Rover,9.99,65.84,10
ESET NOD32 Antivirus 2016 Software (3-PCs),31.99,31.99,1
Zoom DOCSIS 3.0 High Speed Cable Modem,15.99,15.99,2
I Love Lucy: The Complete Seasons 1-9 (DVD),30.95,30.95,1
T-Mobile Prepaid 3-in-1 SIM Starter Kit,2.68,7.98111111111,18
10-Piece Pyrex Storage Plus Container Set,7.34,14.075,6
FoodSaver Professional Vacuum Sealer +,4.49,89.525862069,29
AR Blue Clean 1450 PSI Electric Pressure Washer,49.46,72.6114285714,7
$100 iTunes Code (Email Delivery),20.0,20.0,1
LEGO DUPLO Town Camping Adventure Building Kit,3.96,10.4258333333,12
Sennheiser HD 558 Headphones,7.95,52.5877777778,18
Samson SR850 Professional Studio Headphones,9.95,19.21,11
Pure Enrichment PureSteam Portable Fabric Steamer,6.99,19.946,5
Gillette Venus Spa Women's Razor + 2 Refill Cartridges,21.39,31.3633333333,3
Audio-Technica ATH-M50x Headphones + Blue Yeti USB Microphone,129.0,139.495,4
Paper Mario: Sticker Star (Nintendo 3DS),0.99,9.63857142857,49
Fisher-Price Laugh &amp; Learn Smart Stages Chair,0.99,18.2180487805,41
Dell Inspiron 15 TouchScreen Laptop: i5-4210U 8GB DDR3  1TB HDD,300.99,300.99,1
Nikon D5300 DSLR w/ 18-55mm VR II Lens (Refurbished),49.99,131.745,4
32GB T-Mobile LG G3 D851 4G LTE Unlocked Smartphone,6.29,87.3325,16
Fender American Deluxe Telecaster Electric Guitar (Aged Cherry Burst),450.0,604.61625,8
Fender American Deluxe Stratocaster Ash Electric Guitar,250.99,591.175714286,7
55" Samsung UN55JS7000 4K SUHD Smart LED HDTV,399.0,424.0,2
Call of Duty: Black Ops III + Fallout 4 (PS4),10.0,10.0,1
705-Piece K'Nex 70 Model Building Set,15.95,34.7258730159,63
8TB Seagate Backup Plus USB 3.0 External Hard Drive,49.99,96.43,12
GoPro HERO4 Session Action Camera,15.0,160.75109375,64
Rocketfish 7-Outlet Surge Protector,3.0,10.7753333333,15
$50 JC Penney Gift Card,10.0,30.0,5
Francois et Mimi Multi-Tiered 41 Cupcake Stand,1.79,3.00333333333,3
Blue Microphones Yeti USB Microphone (Silver),2.0,54.0294915254,59
Three's Company: The Complete Series (29-Disc DVD),140.78,140.78,1
Super Mario Maker (Wii U),3.79,8.75071428571,14
Nutri Ninja Pro Blender,0.99,48.4357746479,71
Dexter The Complete Seasons 1-8 (Blu-ray),53.5,108.496666667,3
Star Trek: The Complete Original Series (DVD),5.99,34.5646666667,15
FAO Schwarz Polar Bear Rocker,97.49,97.49,1
Fisher-Price Imaginext DC Super Friends Hall of Doom Toy,2.99,20.3885714286,14
65" Samsung UN65JU6400 4K Smart LED HDTV +,1299.0,1365.66666667,3
VTech Go! Go! Smart Wheels Police Station Play Set,2.49,14.6956666667,30
GoPro Hero4 Silver Edition +,147.5,314.119761905,42
5TB Seagate Backup Plus USB 3.0 External Hard Drive,14.94,97.9029411765,17
14.5oz. Planters Pistachio Deluxe Mix,10.83,10.83,1
Schwinn 20-Function Bike Computer,1.55,9.78444444444,18
Barbie Dreamhouse,7.5,110.49953125,64
Baume &amp; Mercier Clifton GMT Automatic Watch,1500.0,1500.0,1
8" WEN 5-Speed Drill Press,20.88,80.4733333333,15
Assassin's Creed: Unity (Xbox One),2.99,7.44692307692,13
Wolf Children (Blu-ray + DVD),2.22,5.02,4
Everlast 70-lb Heavy Bag Kit (Camouflage),40.99,49.3266666667,3
Philips Norelco QG3364 Multigroom Kit,13.99,20.846,5
Logitech Harmony 700 Universal Remote,0.99,42.3733333333,21
6.5' Holiday Living Pre-Lit Seneca Pine Artificial Christmas Tree,34.99,77.91,3
Aeon Labs V1 Z-Wave Minimote Control,10.47,13.106,5
Grand Theft Auto V (Xbox One),16.99,19.99,2
Logitech MX Anywhere Wireless Laser Mouse,1.99,35.0031395349,86
Work Gloves: Mechanix Wear Safety FastFit Glove,4.99,9.978125,32
Calvin Klein Men's Nowles Suede Chukka Boots,40.45,49.1734782609,23
Bowflex SelectTech 552 Adjustable Dumbbells (Pair),15.0,111.99,5
Honeywell 7-Day Programmable Wi-Fi Thermostat,1.5,62.7612195122,82
Pyrex 4.8-Quart Oblong Clear Baking Dish,2.81,12.1558333333,12
Motorola Universal Smartphone Flip Stand Mount,2.75,8.84142857143,14
Dorco Pace 7 Men's Razor + 10 Refill Cartridges,34.99,34.99,1
1-Year Sony PlayStation Plus Membership,5.0,9.546,5
LG 2.1-Channel Soundbar w/ Wireless Subwoofer,49.99,67.435,2
Lowepro Edit 100 Camera Bag (Black),3.99,9.07529411765,17
Zojirushi Micom 5-1/2 Cup Rice Cooker &amp; Warmer,18.92,69.8156,25
Men's New Balance 501 Outdoor Shoe (Blue),38.49,38.49,5
The Critic: The Complete Series (DVD),0.05,5.72375,8
Canon PowerShot SX400 IS Digital Camera (Refurbished),15.0,82.3369230769,13
Syma X5C Explorers RC Quadcopter w/ HD Camera,0.34,14.0373913043,23
Lil' Rider Green Responder Ambulance Wiggle Ride-On Car,10.17,17.3033333333,3
32GB LG Nexus 5 4G LTE 5" Quad Core Android Unlocked Smartphone,9.99,58.5685714286,7
Chemical Guys Grit Guard Insert (Blue),1.49,3.2,2
100-Piece Craftsman Drilling and Driving Accessory Kit,9.0,17.522,5
Bayonetta 2 (Wii U),0.99,33.6186885246,61
Chappelle's Show: The Complete Series (DVD),0.65,9.30606060606,33
Philips Norelco 3500 Shaver,3.0,35.82,47
32GB Asus ZenFone 2 Laser 4G LTE Unlocked Smartphone,10.0,89.0,11
Audio-Technica ATH-M50x Headphones +,35.5,126.309183673,98
55" LG 55EG9100 1080p Curved Smart OLED 3D HDTV,397.99,397.99,1
Uncharted: The Nathan Drake Collection (PS4),0.26,31.2936075949,158
Coleman Palmetto Cool Weather Sleeping Bag,2.54,11.6003703704,27
4-Pack Panasonic Eneloop 2000mAh Ni-MH Pre-Charged Batteries + Charger,2.99,2.99,1
Leatherman Skeletool 7-in-1 All-Purpose Multi-Tool,14.99,24.84,4
4-Pack Scotch Long Lasting Moving &amp; Storage Packaging Tape,2.63,2.63,1
Franklin ProSensor 710 Stud Finder,14.52,24.8814814815,54
32" Sharp LB370 1080p LED HDTV,10.0,52.495,2
Marvel Cinematic Universe: Phase One (10-Disc Blu-ray Set),60.95,93.1271428571,7
Zaq Mini II Travel Litemist Aromatherapy Essential Oil Diffuser,19.81,22.145,2
K&amp;H Thermo-Kitty 16" Heated Cat Bed (Sage),1.95,14.88,10
Lenovo Ideacentre Stick 300 Computer,51.88,57.03,2
Skylanders SuperChargers: Racing Sea Pack,3.87,27.45125,16
Trixie DreamWorld Topi Scratching Mouse Cat Scratcher &amp; Condo,7.54,7.865,2
3-Pack D-Link DCS-934L Wireless Day/Night WiFi Surveillance Camera,61.56,81.1357142857,7
Jawbone Big Jambox Wireless Bluetooth Speaker,4.99,74.3538562092,153
32GB Apple iPad Mini 2 w/ WiFi Tablet,64.99,134.995,2
1-lb Jack Link's Beef Jerky (Peppered),10.44,12.6025,4
Zojirushi Ms. Bento Stainless-Steel Vacuum Lunch Jar,4.33,13.1821428571,28
Coleman North Rim 0 Degree Sleeping Bag,6.06,22.8525806452,31
2TB Toshiba 3.5" Internal SATA Hard Drive,3.45,36.5365714286,35
Code Name: S.T.E.A.M. (Nintendo 3DS),2.0,11.5614814815,27
Hoover Air Lite Compact Multi-Cyclonic Upright Vacuum Cleaner,46.97,50.65,3
The Wizard Of Oz: 75th Anniversary Edition (Blu-ray),1.25,37.4432,25
12-Month PlayStation Plus Membership Card,14.49,19.72,2
2-Pack Oral-B 3D White Action Replacement Toothbrush Heads,2.29,8.765,4
Chemical Guys Chenille Microfiber Wash Mitt,2.67,5.87125,24
Tearaway Unfolded (PS4),4.45,22.7525,28
Panasonic Vortex Wet/Dry Facial Nose &amp; Ear Hair Trimmer,0.99,8.89298507463,67
Fisher-Price Thomas the Train TrackMaster Holiday Set,7.95,19.433,20
Seinfeld: The Complete Series (33-Disc DVD Set),38.99,38.99,1
Sennheiser HD700 Open Headphones,69.95,225.57,10
50" Sharp LC-50LB370U 1080p LED HDTV,124.99,127.49,2
Nike Mercurial 8.0 R EV0783 Sunglasses,19.99,46.8908333333,12
Breaking Bad: The Complete Series (Blu-ray),5.0,97.2358333333,84
5-Piece Samsonite Luggage Travel Set: Black,2.49,64.9238235294,34
24" Dell U2415 UltraSharp 1920x1200 LED Monitor,28.0,81.7333333333,3
Fender American Deluxe Telecaster Electric Guitar,50.0,388.460526316,19
Calphalon 12" &amp; 10" Contemporary Nonstick Fry Pan Set,4.95,26.47,2
Band of Brothers (Blu-ray),1.59,26.49025,40
Oral-B Vitality Floss Action Rechargeable Electric Toothbrush,1.99,16.5969565217,23
Hot Wheels Track Builder System Playset,4.64,33.5275,12
Intex Twin Waterproof Vinyl Airbed Mattress,19.87,19.87,1
Looney Tunes Platinum Collection: Volume 2 &amp; 3 (Blu-Ray),66.34,68.84,2
34" LG 34UC87C 3440x1440 QHD Curved IPS Monitor,55.99,55.99,1
