Tweet,DealProduct,DealPrice,MarketProduct,MarketPrice,HoursLeft,BidCount
$100 iTunes Code (Email Delivery) $80  https://t.co/htV2oFeD6Z,Sennheiser HD 558 Headphones,80,Sennheiser HD 558 Professional Open-Back Over-Ear Audiophile Headphones,94.99,0.6,
$50 JC Penney Gift Card $40 + Free Shipping https://t.co/FdcunSbBcX,$50 JC Penney Gift Card,40,JCPenney Gift Card $25 $50 $10 - mail delivery,100,382.2333333,
$50 JC Penney Gift Card $40 + Free Shipping https://t.co/FdcunSbBcX,$50 JC Penney Gift Card,40,JcPenney Gift Card $25 $50 $100 - Email delivery ,100,7.433333333,
$50 JC Penney Gift Card $40 + Free Shipping https://t.co/FdcunSbBcX,$50 JC Penney Gift Card,40,JCPenney Gift Card $25 $50 $10 - mail delivery,50,382.2333333,
$50 JC Penney Gift Card $40 + Free Shipping https://t.co/FdcunSbBcX,$50 JC Penney Gift Card,40,JcPenney Gift Card $25 $50 $100 - Email delivery ,50,7.433333333,
$50 JC Penney Gift Card $40 + Free Shipping https://t.co/FdcunSbBcX,Coleman Sundome 4-Person Tent,40,Brand New Coleman Sundome Tent Green 4-Person (Free Shipping),53.6,712.3833333,
12-Month PlayStation Plus Membership Card $35 (w/ MasterPass) + Free S&amp;amp;H https://t.co/iTMIKQjZBg,12-Month PlayStation Plus Membership Card,35,1 Year Playstation Plus + PSN Membership Card 12 Month,59.95,541.1833333,
12-Month PlayStation Plus Membership Card $35 (w/ MasterPass) + Free S&amp;amp;H https://t.co/iTMIKQjZBg,"Calphalon 12"" &amp; 10"" Contemporary Nonstick Fry Pan Set",35,Calphalon Contemporary Nonstick Fry Pans,39.95,,
14.5oz. Planters Pistachio Deluxe Mix $8 + Free S/H https://t.co/NlkWc44ANv,Despicable Me (Blu-ray + DVD + Digital HD),8,Despicable Me  (Blu-ray + DVD + Digital HD) BRAND NEW FREE SHIPPING,16.99,252.0833333,
1-lb Jack Link's Beef Jerky (Peppered) $14 + Free Shipping https://t.co/6izbvbUx9K,1-lb Jack Link's Beef Jerky (Peppered),14,Jack Link's Peppered Beef Jerky -16 oz./ 454g One Pound 1lb total weight  BFR,28.99,370.0666667,
1-lb Jack Link's Beef Jerky (Peppered) $14 + Free Shipping https://t.co/6izbvbUx9K,1-lb Jack Link's Beef Jerky (Peppered),14,Jack Link's Peppered Beef Jerky -16 oz./ 454g One Pound 1lb total weight FR,27.99,75.7,0
1-lb Jack Link's Beef Jerky (Peppered) $14 + Free Shipping https://t.co/6izbvbUx9K,1-lb Jack Link's Beef Jerky (Peppered),14,4 NEW BAGS OF JACK LINK'S PREMIUM CUTS PEPPERED BEEF JERKY 4.05 OZ OVER 1 LB,24.44,510.0333333,
1-lb Jack Link's Beef Jerky (Peppered) $14 + Free Shipping https://t.co/6izbvbUx9K,Wolf Children (Blu-ray + DVD),14,Wolf Children (Blu-ray/DVD Combo),18.12,418.9666667,
"24"" Dell U2415 UltraSharp 1920x1200 LED Monitor $240 + Free Shipping https://t.co/X1UoeUn3zy","24"" Dell U2415 UltraSharp 1920x1200 LED Monitor",240,"Dell Ultrasharp U2415 24"" Led Lcd Monitor - 16:10 - 5 Ms - 1920 X 1200 - 16.7",361.29,699,
"24"" Dell U2415 UltraSharp 1920x1200 LED Monitor $240 + Free Shipping https://t.co/X1UoeUn3zy","24"" Dell U2415 UltraSharp 1920x1200 LED Monitor",240,Dell UltraSharp U2415 24  LED LCD Monitor - 16:10 - 5 ms - 1920 x 1200 - 16.7 Mi,335.91,507.55,
"24"" Dell U2415 UltraSharp 1920x1200 LED Monitor $240 + Free Shipping https://t.co/X1UoeUn3zy",32GB T-Mobile LG G3 D851 4G LTE Unlocked Smartphone,220,LG G3 D851 - 32GB 4G LTE GSM Unlocked T-Mobile Smartphone Metallic Black ,274.9,,
2-Pack Oral-B 3D White Action Replacement Toothbrush Heads $2.70 + Free Shipping https://t.co/eKKCaOuDI3,2-Pack Oral-B 3D White Action Replacement Toothbrush Heads,2.7,2 different Oral B action complete-3D white replacement toothbrush head (2 pack),17.99,437.3,
2-Pack Oral-B 3D White Action Replacement Toothbrush Heads $2.70 + Free Shipping https://t.co/eKKCaOuDI3,2-Pack Oral-B 3D White Action Replacement Toothbrush Heads,2.7,2 different Oral B action complete-3D white replacement toothbrush head (2 pack),13.99,437.3,
2-Pack Oral-B 3D White Action Replacement Toothbrush Heads $2.70 + Free Shipping https://t.co/eKKCaOuDI3,2-Pack Oral-B 3D White Action Replacement Toothbrush Heads,2.7,Oral -B CrossAction Complete 3D White Action Toothbrushes OR Heads (Oral B),8.89,645.5,
